Internship URL,Title,Company,Location,Start Date,Duration,Stipend,Apply By,Skills Required
https://internshala.com/internship/detail/part-time-backend-development-internship-in-multiple-locations-at-nexotech-solutions1748839142,Backend Development,Nexotech Solutions,"Kollam, Kottayam, Kozhikode, Pathanamthitta, Thiruvananthapuram, Thrissur, Malappuram, Alappuzha, Wayanad, Idukki, Kochi, Ernakulam, Palakkad, Kannur(Hybrid)",Starts immediately,6 Months,"₹ 7,000 - 13,000 /month",2 Jul' 25,"Django, Java, NoSQL, Python, REST API, Spring Boot, SQL"
https://internshala.com/internship/detail/work-from-home-backend-development-internship-at-ure-legal-advocates1748839788,Backend Development,URE Legal Advocates,Work from home,Starts immediately,6 Months,"₹ 1,000 /month",2 Jul' 25,"Django, Express.js, Java, MySQL, Natural Language Processing (NLP), Next.js, Node.js, PHP, Python, REST API"
https://internshala.com/internship/detail/software-development-internship-in-cochin-at-freshers-job-fair-in1748235190,Software Development,Freshers Job Fair .IN,Cochin,Starts immediately,6 Months,"₹ 15,000 - 25,000 /month",25 Jun' 25,".NET, C++ Programming, CSS, HTML, Java, JavaScript, MySQL, Python"
https://internshala.com/internship/detail/work-from-home-android-app-development-internship-at-jivichem-synthesis-private-limited1748770150,Android App Development,Jivichem Synthesis Private Limited,Work from home,Starts immediately,1 Month,"₹ 20,000 /month",1 Jul' 25,"Android, Chemistry, Firebase, Java, Kotlin, REST API, XML"
https://internshala.com/internship/detail/work-from-home-part-time-react-native-nextjs-and-firebase-development-internship-at-wecofy1748753385,"React Native, NextJS And Firebase Development",Wecofy,Work from home,Starts immediately,3 Months,"₹ 1,000 - 12,000 /month",1 Jul' 25,"Firebase, Firebase Cloud Messaging, Next.js, Node.js, React Native"
https://internshala.com/internship/detail/work-from-home-part-time-react-native-nextjs-and-firebase-development-internship-at-we-code-for-you1748753326,"React Native, NextJS And Firebase Development",We Code For You,Work from home,Starts immediately,3 Months,"₹ 1,000 - 12,000 /month",1 Jul' 25,"Amazon Web Services (AWS), Cloud Firestore, Firebase, Next.js, React Native"
https://internshala.com/internship/detail/summer-project-internship-in-ahmedabad-at-maxgen-technologies-private-limited1748673327,Summer Project,Maxgen Technologies Private Limited,Ahmedabad,Starts immediately,3 Months,"₹ 7,000 - 12,000 /month",30 Jun' 25,"Data Science, Flutter, Java, MERN, Python, React"
https://internshala.com/internship/detail/work-from-home-part-time-java-development-internship-at-rythukart-private-limited1748611038,Java Development,Rythukart Private Limited,Work from home,Starts immediately,1 Month,"₹ 1,000 - 2,000 /month",29 Jun' 25,Java
https://internshala.com/internship/detail/work-from-home-software-development-internship-at-ndfm-business-world-pvt-ltd1748519257,Software Development,NDFM Business World Pvt. Ltd.,Work from home,Starts immediately,4 Weeks,"₹ 1,000 - 1,200 /month",28 Jun' 25,"C++ Programming, CSS, HTML, Java, JavaScript, MySQL, Node.js, Python, React, REST API"
https://internshala.com/internship/detail/it-recruiter-internship-in-noida-at-abg-group1748512385,IT Recruiter,ABG GROUP,Noida,Starts immediately,3 Months,"₹ 5,000 /month",28 Jun' 25,".NET, ATS, Computer skills, English Proficiency (Spoken), English Proficiency (Written), Java, MS-Excel, MS-Office, MS-Word, Python, Recruitment, Technical Support"
