Internship URL,Title,Company,Location,Start Date,Duration,Stipend,Apply By,Skills Required
https://internshala.com/internship/detail/work-from-home-ai-ml-project-coordination-internship-at-tellis-technologies-private-limited1748954536,AI/ML Project Coordination,Tellis Technologies Private Limited,Work from home,Starts immediately,3 Months,"₹ 5,000 - 6,000 /month",3 Jul' 25,"Artificial intelligence, Data Analysis, Data Science, Machine Learning, MERN, Python"
https://internshala.com/internship/detail/aws-devops-engineer-internship-in-gurgaon-at-monkhub1748949846,AWS DevOps Engineer,Monkhub,Gurgaon,Starts immediately,6 Months,"₹ 10,000 /month",3 Jul' 25,"Amazon Web Services (AWS), Bash, DevOps, Docker, Git, Jenkins, Kubernetes, Microsoft Azure, Python, Terraform"
https://internshala.com/internship/detail/part-time-backend-development-internship-in-multiple-locations-at-nexotech-solutions1748839142,Backend Development,Nexotech Solutions,"Kollam, Kottayam, Kozhikode, Pathanamthitta, Thiruvananthapuram, Thrissur, Malappuram, Alappuzha, Wayanad, Idukki, Kochi, Ernakulam, Palakkad, Kannur(Hybrid)",Starts immediately,6 Months,"₹ 7,000 - 13,000 /month",2 Jul' 25,"Django, Java, NoSQL, Python, REST API, Spring Boot, SQL"
https://internshala.com/internship/detail/work-from-home-part-time-artificial-neural-networks-internship-at-finplex-solutions1748954988,Artificial Neural Networks,Finplex Solutions,Work from home,Starts immediately,4 Months,Unpaid,3 Jul' 25,"Computer Vision, Deep Learning, Design Thinking, Python"
https://internshala.com/internship/detail/work-from-home-presales-manager-internship-at-epitome-consultancy1748954577,Presales Manager,Epitome Consultancy,Work from home,Starts immediately,3 Months,"₹ 7,000 - 15,000 /month",3 Jul' 25,"Machine Learning, Project Management, Python"
https://internshala.com/internship/detail/business-analytics-internship-in-ahmedabad-at-esdi1748952426,Business Analytics,ESDI,Ahmedabad,Starts immediately,6 Months,"₹ 10,000 - 15,000 /month",3 Jul' 25,"Data Analytics, English Proficiency (Spoken), English Proficiency (Written), MS-Excel, MS-Office, Power BI, Python, Research and Analytics, Scrum, Software Development Life Cycle (SDLC), SQL, Tableau"
https://internshala.com/internship/detail/work-from-home-python-development-internship-at-a-plus-topper1748945206,Python Development,A Plus Topper,Work from home,Starts immediately,6 Months,"₹ 4,000 - 5,000 /month",3 Jul' 25,"Bootstrap, CSS, Django, HTML, JavaScript, Python, Stock Trading"
https://internshala.com/internship/detail/data-integration-internship-in-bangalore-at-exactspace1748949530,Data Integration,ExactSpace,Bangalore,Starts immediately,6 Months,"₹ 18,000 /month",3 Jul' 25,"APIs, JavaScript, Node.js, Python, REST API"
https://internshala.com/internship/detail/data-science-internship-in-noida-at-webilius-technologies-private-limited1748948198,Data Science,Webilius Technologies Private Limited,Noida,Starts immediately,6 Months,"₹ 2,000 - 5,000 /month",3 Jul' 25,"Artificial intelligence, Deep Learning, LLMOps, Machine Learning, Natural Language Processing (NLP), Python"
https://internshala.com/internship/detail/backend-development-internship-in-mumbai-at-archstore1748934386,Backend Development,Archstore,Mumbai,Starts immediately,6 Months,"₹ 12,500 /month",3 Jul' 25,"JSON, Python"
https://internshala.com/internship/detail/information-technology-internship-in-bangalore-at-newjaisa-technology-private-limited1748940241,Information Technology,Newjaisa Technology Private Limited,Bangalore,Starts immediately,3 Months,"₹ 10,000 - 15,000 /month",3 Jul' 25,"Client Relationship Management (CRM), C Programming, Database Management System (DBMS), Enterprise Resource Planning(ERP), HTML, JavaScript, Python"
https://internshala.com/internship/detail/work-from-home-software-testing-internship-at-hawc-r-d-private-limited1748938270,Software Testing,HAWC R&D PRIVATE LIMITED,Work from home,Starts immediately,3 Months,"₹ 1,000 - 2,000 /month",3 Jul' 25,"Adobe XD, APIs, Database Testing, Figma, Manual Testing, PHP, PostgreSQL, Python, React, REST API, Software Testing, Usability Testing"
https://internshala.com/internship/detail/work-from-home-business-strategy-internship-at-moneyyai1748937359,Business Strategy,Moneyy.ai,Work from home,Starts immediately,6 Months,"₹ 10,000 /month",3 Jul' 25,"English Proficiency (Spoken), English Proficiency (Written), MS-Excel, Python, SQL"
https://internshala.com/internship/detail/work-from-home-ai-agent-development-internship-at-nextdimension1748930177,AI Agent Development,NextDimension,Work from home,Starts immediately,3 Months,"₹ 12,000 - 20,000 /month",3 Jul' 25,"Gemini, Google Cloud Platforms (GCP), LLM evaluation, Prompt Engineering, Python, SQL"
https://internshala.com/internship/detail/backend-development-internship-in-multiple-locations-at-vypzee1748929907,Backend Development,Vypzee,"Delhi, Ghaziabad, Gurgaon, Noida",Starts immediately,6 Months,"₹ 15,000 /month",3 Jul' 25,"LLM evaluation, Node.js, Python"
https://internshala.com/internship/detail/software-development-internship-in-pune-at-maxgen-technologies-private-limited1748925078,Software Development,Maxgen Technologies Private Limited,Pune,Starts immediately,2 Months,"₹ 7,000 - 12,000 /month",3 Jul' 25,"Java, Node.js, Python, React"
https://internshala.com/internship/detail/data-science-machine-learning-internship-in-ahmedabad-at-maxgen-technologies-private-limited1748925025,Data Science (Machine Learning),Maxgen Technologies Private Limited,Ahmedabad,Starts immediately,2 Months,"₹ 7,000 - 12,000 /month",3 Jul' 25,"Artificial intelligence, Data Science, Deep Learning, Machine Learning, Python"
https://internshala.com/internship/detail/work-from-home-computer-vision-internship-at-yonder-wonder-ai1748924943,Computer Vision,"Yonder Wonder AI (Boston, United States)",Work from home,Starts immediately,3 Months,"₹ 15,000 /month",3 Jul' 25,"Computer Vision, Deep Learning, Machine Learning, Python"
